"flock","lat_scale","lon_scale"
1,0.0951388355861656,-0.25241757918818
2,0.198433497912575,-0.457816526085656
3,-0.00273278136359435,-0.726782788863689
4,-0.13374265020008,-0.566965157685225
5,-0.201091346952414,-0.709553116082755
6,-0.288161678871228,-0.367456519756598
7,-0.432676897867072,-0.172974429660515
8,-0.260781025413056,0.163971375604013
9,-0.407919088533453,-1.16317602577219
10,-0.323629046346395,-1.53191583917956
11,-0.605164908260567,-1.18557123458056
12,-0.814914870090256,-1.26221125356886
13,-0.707836621968288,-1.05372171086894
14,-0.810211911845681,-1.0760293137267
15,-0.870499989523106,-0.899380508354353
16,-1.16085836705708,-1.32891708019646
17,-0.982003474492805,-1.00590796226277
18,-1.02467674901654,-0.881952731707154
19,-1.13677379045349,-1.01911741198558
20,-0.477670129283531,-0.715176676028617
21,-0.463997222733945,-0.543917858450803
22,-0.554008612694086,-0.437969494729052
23,-0.66067279429824,-0.173392946258599
24,-0.671225378760592,-0.478039151396267
25,-0.703323338766536,-0.643283928222413
26,-0.917357399647205,-0.476947692230726
27,-1.02903089942276,-0.142558150592305
28,-1.40806961868608,-0.807857643815338
29,-1.54062118301129,-1.32566239320642
30,-1.54701425992985,-1.33307463967573
31,-1.48649393880095,-1.86861347207722
32,-0.471418817341236,0.451849076145469
33,-1.36253356580617,0.438295905190755
34,2.34959118624751,2.16099036369234
35,2.03550603035963,1.98152736258256
36,2.10188996085978,2.18637289038894
37,1.9319288066306,0.331042160139824
38,1.27921702060906,-0.118081076460545
39,1.39719902067174,-0.100072678571314
40,1.44094686702075,0.458342904841698
41,1.33211076026498,0.74896119002391
42,1.0635264135642,0.76945350491156
43,0.930025848674531,0.16967813844716
44,1.00020924132326,0.346213907837489
45,0.826952685206287,0.460361087315588
46,0.821007857574944,0.537362513428233
47,0.695709146159261,0.538449226853065
48,0.526128590887221,0.531360366718908
49,0.606079406019184,0.708287049559041
50,0.63763273161734,0.838537445783862
51,0.694642122438231,0.937894124602831
52,0.510352410991212,0.911269639546744
53,0.487487680467717,0.900635369905998
54,0.374383489802886,0.855226262846277
55,0.690221611272626,1.47255725145649
56,0.546326247754973,1.16206763084582
57,0.0292023038053252,1.24714178685402
58,0.105646713101792,1.7434594461449
59,-1.25038412938613,1.7752070095736
