site_id,year,year_id,winter_GDD,scaled_winter_GDD
5,1986,3,1025.456038,-0.936632228
5,1987,4,1145.62713,-0.008630164
5,1988,5,1262.818473,0.896361264
5,1989,6,1296.337436,1.15520611
5,1990,7,1307.951271,1.244892095
5,1991,8,1166.228583,0.150461271
5,1992,9,1279.064954,1.021822123
5,1993,10,1285.56245,1.071998001
5,1994,11,1152.100958,0.041362943
5,1995,12,1198.02377,0.395994519
5,1996,13,1133.688955,-0.100820809
5,1997,14,1244.226279,0.75278602
5,1998,15,1264.913391,0.91253894
5,1999,16,1217.226789,0.544286771
5,2000,17,1215.912792,0.534139638
5,2001,18,1034.892843,-0.863758011
5,2002,19,1256.398861,0.846786837
5,2003,20,1169.206471,0.173457531
5,2004,21,1142.52794,-0.032563166
5,2005,22,1218.501884,0.55413349
5,2006,23,1077.258514,-0.536595884
5,2007,24,1178.972013,0.248870373
5,2008,25,1109.941908,-0.284203594
5,2009,26,1080.721614,-0.509852648
5,2010,27,880.5291722,-2.055806806
5,2011,28,1069.674612,-0.595161357
5,2012,29,1197.650465,0.39311173
5,2013,30,914.6012811,-1.792690386
5,2014,31,1042.202,-0.807314216
5,2015,32,969.0315607,-1.372361245
5,2016,33,1004.927761,-1.095158567
5,2017,34,1089.74099,-0.440201952
5,2018,35,876.2197786,-2.08908541
6,1984,1,1082.036549,-0.499698268
6,1985,2,1044.779732,-0.787408088
6,1986,3,952.140688,-1.502798312
6,1987,4,1082.323785,-0.497480134
6,1988,5,1203.930824,0.441610801
6,1989,6,1242.476859,0.739276398
6,1990,7,1262.594378,0.894630732
6,1991,8,1111.270951,-0.273940268
6,1992,9,1219.425602,0.561266749
6,1993,10,1229.872547,0.641941614
6,1994,11,1092.187895,-0.42130612
6,1995,12,1143.52977,-0.024826693
6,1996,13,1079.207522,-0.521544976
6,1997,14,1202.568598,0.431091227
6,1998,15,1220.07408,0.56627452
6,1999,16,1154.842821,0.062536542
6,2000,17,1151.244684,0.034750499
6,2001,18,974.3956228,-1.330938132
6,2002,19,1200.403857,0.414374363
6,2003,20,1101.772333,-0.347291826
6,2004,21,1073.235355,-0.567664083
6,2005,22,1154.114722,0.056913909
6,2006,23,1008.646726,-1.066439457
6,2007,24,1119.329448,-0.211709816
6,2008,25,1048.99488,-0.754857279
6,2009,26,1016.781927,-1.003616664
6,2010,27,809.3483068,-2.605489671
6,2011,28,1011.732765,-1.04260801
6,2012,29,1153.952978,0.055664872
6,2013,30,849.3716519,-2.29641578
6,2014,31,989.8558206,-1.211549223
6,2015,32,905.0385869,-1.866536765
6,2016,33,949.4824893,-1.523325826
6,2017,34,1040.716204,-0.818788038
6,2018,35,811.8932207,-2.58583698
7,1984,1,1114.469801,-0.249237661
7,1985,2,1079.863911,-0.516476119
7,1986,3,977.4975851,-1.306983723
7,1987,4,1107.18452,-0.30549708
7,1988,5,1227.496385,0.623592083
7,1989,6,1272.874077,0.974014063
7,1990,7,1303.538095,1.210812048
7,1991,8,1136.215743,-0.081308096
7,1992,9,1242.695456,0.740964481
7,1993,10,1258.915864,0.866223992
7,1994,11,1127.199383,-0.150935498
7,1995,12,1180.915511,0.263878725
7,1996,13,1108.886995,-0.292349987
7,1997,14,1240.687889,0.725461365
7,1998,15,1249.029849,0.789880825
7,1999,16,1186.668491,0.308305193
7,2000,17,1171.160325,0.188545855
7,2001,18,1007.363117,-1.076351923
7,2002,19,1230.376292,0.645831709
7,2003,20,1128.447012,-0.141300878
7,2004,21,1102.073971,-0.344962477
7,2005,22,1169.977471,0.179411458
7,2006,23,1030.731015,-0.895897059
7,2007,24,1145.69658,-0.008093845
7,2008,25,1082.676931,-0.494753024
7,2009,26,1039.65355,-0.826994208
7,2010,27,840.1533656,-2.367602524
7,2011,28,1040.867613,-0.8176188
7,2012,29,1175.79306,0.224321416
7,2013,30,869.3850715,-2.141865344
7,2014,31,1020.497371,-0.97492474
7,2015,32,928.0596496,-1.688760285
7,2016,33,973.1592227,-1.340486034
7,2017,34,1068.813539,-0.601810851
7,2018,35,838.2412273,-2.382368706
8,1984,1,1093.773243,-0.409063523
8,1985,2,1065.431747,-0.6279262
8,1986,3,960.8945023,-1.435198379
8,1987,4,1085.35568,-0.474066809
8,1988,5,1211.781285,0.502234732
8,1989,6,1264.521245,0.909510653
8,1990,7,1294.503124,1.141040927
8,1991,8,1116.850687,-0.230851649
8,1992,9,1230.188029,0.644377872
8,1993,10,1244.999295,0.75875551
8,1994,11,1108.267543,-0.297133607
8,1995,12,1162.927064,0.124965814
8,1996,13,1093.415053,-0.411829588
8,1997,14,1228.439496,0.630875112
8,1998,15,1245.190528,0.760232279
8,1999,16,1169.448716,0.175328234
8,2000,17,1162.209063,0.119421165
8,2001,18,990.6555265,-1.205373622
8,2002,19,1216.544265,0.539016089
8,2003,20,1109.552235,-0.28721278
8,2004,21,1088.153207,-0.452463356
8,2005,22,1157.844921,0.08571978
8,2006,23,1016.436936,-1.006280807
8,2007,24,1137.673672,-0.070049471
8,2008,25,1065.443151,-0.627838134
8,2009,26,1022.639194,-0.958384854
8,2010,27,832.4363224,-2.427196158
8,2011,28,1034.033787,-0.870391936
8,2012,29,1157.375303,0.082093223
8,2013,30,849.6331662,-2.294396278
8,2014,31,1015.76906,-1.01143837
8,2015,32,911.987784,-1.8128727
8,2016,33,964.3024563,-1.408880998
8,2017,34,1058.900956,-0.678359195
8,2018,35,822.574389,-2.503353364
9,1984,1,1167.734564,0.162090968
9,1985,2,1113.838412,-0.254113463
9,1986,3,1031.72862,-0.888193213
9,1987,4,1155.512348,0.067706857
9,1988,5,1268.004344,0.936408329
9,1989,6,1298.852373,1.174627308
9,1990,7,1314.182572,1.293012318
9,1991,8,1168.144905,0.165259762
9,1992,9,1290.567853,1.110651423
9,1993,10,1297.254074,1.162284697
9,1994,11,1170.625966,0.184419356
9,1995,12,1221.850019,0.579988927
9,1996,13,1123.820494,-0.177028425
9,1997,14,1246.88652,0.773329308
9,1998,15,1260.810278,0.880853305
9,1999,16,1238.41846,0.707936064
9,2000,17,1218.466835,0.553862823
9,2001,18,1043.455527,-0.797634054
9,2002,19,1265.539353,0.917372828
9,2003,20,1175.540454,0.222370704
9,2004,21,1156.409875,0.074637862
9,2005,22,1217.042914,0.542866824
9,2006,23,1078.965894,-0.523410912
9,2007,24,1179.662148,0.254199824
9,2008,25,1116.989786,-0.229777477
9,2009,26,1092.46732,-0.419148305
9,2010,27,861.1356161,-2.205570446
9,2011,28,1063.778712,-0.640691497
9,2012,29,1208.412426,0.476219258
9,2013,30,921.6782481,-1.738039638
9,2014,31,1035.21526,-0.861268196
9,2015,32,974.2783677,-1.331843615
9,2016,33,1002.7179,-1.11222387
9,2017,34,1091.476023,-0.426803435
9,2018,35,875.9958899,-2.090814354
10,1984,1,1312.423507,1.279428223
10,1985,2,1279.128783,1.022315032
10,1986,3,1190.825815,0.340409464
10,1987,4,1295.813469,1.151159852
10,1988,5,1389.435776,1.87414317
10,1989,6,1410.769641,2.038890531
10,1990,7,1416.257328,2.08126832
10,1991,8,1302.504081,1.202827035
10,1992,9,1418.114892,2.095613061
10,1993,10,1398.558646,1.944593076
10,1994,11,1298.48533,1.171792871
10,1995,12,1333.344615,1.440988139
10,1996,13,1267.858651,0.935283239
10,1997,14,1365.172575,1.686774476
10,1998,15,1382.111858,1.817585379
10,1999,16,1358.1394,1.632461904
10,2000,17,1349.144615,1.563001112
10,2001,18,1206.381784,0.460537948
10,2002,19,1391.763491,1.892118577
10,2003,20,1317.083474,1.31541407
10,2004,21,1310.248171,1.262629533
10,2005,22,1324.037429,1.369114881
10,2006,23,1241.577148,0.732328529
10,2007,24,1308.69524,1.250637277
10,2008,25,1244.197931,0.752567106
10,2009,26,1224.259149,0.598593048
10,2010,27,1053.611223,-0.719208312
10,2011,28,1194.445703,0.368363472
