"flock","year","grass","cereal","peat_bog","ndvi","grass_scaled","cereal_scaled","peat_bog_scaled","ndvi_scaled"
1,1,54.4873355435455,9.13778120080323,15.7350725843695,0.5593685,0.598594233375909,0.920783429973437,-0.0855357487269976,-1.09911126311981
1,2,54.4873355435455,9.13778120080323,15.7350725843695,0.5593685,0.598594233375909,0.920783429973437,-0.0855357487269976,-1.09911126311981
1,3,54.4873355435455,9.13778120080323,15.7350725843695,0.5593685,0.598594233375909,0.920783429973437,-0.0855357487269976,-1.09911126311981
1,4,54.4873355435455,9.13778120080323,15.7350725843695,0.5593685,0.598594233375909,0.920783429973437,-0.0855357487269976,-1.09911126311981
1,5,54.4873355435455,9.13778120080323,15.7350725843695,0.5593685,0.598594233375909,0.920783429973437,-0.0855357487269976,-1.09911126311981
1,6,55.5908186194879,16.279436912313,4.98832187652616,0.770626684,0.643530541190722,2.62364957294951,-0.982546652706883,0.728106413594667
1,7,55.5908186194879,16.279436912313,4.98832187652616,0.770626684,0.643530541190722,2.62364957294951,-0.982546652706883,0.728106413594667
1,8,55.5908186194879,16.279436912313,4.98832187652616,0.770626684,0.643530541190722,2.62364957294951,-0.982546652706883,0.728106413594667
1,9,55.5908186194879,16.279436912313,4.98832187652616,0.770626684,0.643530541190722,2.62364957294951,-0.982546652706883,0.728106413594667
1,10,55.5908186194879,16.279436912313,4.98832187652616,0.770626684,0.643530541190722,2.62364957294951,-0.982546652706883,0.728106413594667
1,11,64.9741133700128,11.1072749618967,8.34709183003498,0.722836207,1.02563936589255,1.39039221259279,-0.702196493466793,0.314756252670171
1,12,64.9741133700128,11.1072749618967,8.34709183003498,0.722836207,1.02563936589255,1.39039221259279,-0.702196493466793,0.314756252670171
1,13,64.9741133700128,11.1072749618967,8.34709183003498,0.722836207,1.02563936589255,1.39039221259279,-0.702196493466793,0.314756252670171
1,14,64.9741133700128,11.1072749618967,8.34709183003498,0.722836207,1.02563936589255,1.39039221259279,-0.702196493466793,0.314756252670171
1,15,64.9741133700128,11.1072749618967,8.34709183003498,0.722836207,1.02563936589255,1.39039221259279,-0.702196493466793,0.314756252670171
1,16,62.362285931808,13.7787102571253,7.5798619871548,0.653843488137281,0.919279889901391,2.02737289342631,-0.766235713658252,-0.281976678966468
1,17,62.362285931808,13.7787102571253,7.5798619871548,0.653843488137281,0.919279889901391,2.02737289342631,-0.766235713658252,-0.281976678966468
1,18,62.362285931808,13.7787102571253,7.5798619871548,0.653843488137281,0.919279889901391,2.02737289342631,-0.766235713658252,-0.281976678966468
1,19,62.362285931808,13.7787102571253,7.5798619871548,0.653843488137281,0.919279889901391,2.02737289342631,-0.766235713658252,-0.281976678966468
1,20,62.362285931808,13.7787102571253,7.5798619871548,0.653843488137281,0.919279889901391,2.02737289342631,-0.766235713658252,-0.281976678966468
1,21,58.5200136330841,11.9971140354372,10.4081367675721,0.786846474,0.762813937239331,1.60256665676086,-0.530164980610164,0.868394881664603
1,22,58.5200136330841,11.9971140354372,10.4081367675721,0.786846474,0.762813937239331,1.60256665676086,-0.530164980610164,0.868394881664603
1,23,58.5200136330841,11.9971140354372,10.4081367675721,0.786846474,0.762813937239331,1.60256665676086,-0.530164980610164,0.868394881664603
1,24,58.5200136330841,11.9971140354372,10.4081367675721,0.786846474,0.762813937239331,1.60256665676086,-0.530164980610164,0.868394881664603
1,25,58.5200136330841,11.9971140354372,10.4081367675721,0.786846474,0.762813937239331,1.60256665676086,-0.530164980610164,0.868394881664603
1,26,54.1729188521651,14.620671237586,12.4426975211099,0.717564887814342,0.585790479939166,2.22813121968149,-0.360344052373598,0.269163474140757
1,27,54.1729188521651,14.620671237586,12.4426975211099,0.717564887814342,0.585790479939166,2.22813121968149,-0.360344052373598,0.269163474140757
1,28,54.1729188521651,14.620671237586,12.4426975211099,0.717564887814342,0.585790479939166,2.22813121968149,-0.360344052373598,0.269163474140757
1,29,54.1729188521651,14.620671237586,12.4426975211099,0.717564887814342,0.585790479939166,2.22813121968149,-0.360344052373598,0.269163474140757
1,30,54.1729188521651,14.620671237586,12.4426975211099,0.717564887814342,0.585790479939166,2.22813121968149,-0.360344052373598,0.269163474140757
1,31,49.4636030588864,21.2183314816536,8.25022906237136,0.807413136,0.394016569946749,3.80128634033164,-0.710281445015965,1.04628038482415
1,32,49.4636030588864,21.2183314816536,8.25022906237136,0.807413136,0.394016569946749,3.80128634033164,-0.710281445015965,1.04628038482415
1,33,49.4636030588864,21.2183314816536,8.25022906237136,0.807413136,0.394016569946749,3.80128634033164,-0.710281445015965,1.04628038482415
1,34,49.4636030588864,21.2183314816536,8.25022906237136,0.807413136,0.394016569946749,3.80128634033164,-0.710281445015965,1.04628038482415
1,35,49.4636030588864,21.2183314816536,8.25022906237136,0.807413136,0.394016569946749,3.80128634033164,-0.710281445015965,1.04628038482415
2,1,17.453916670032,3.06483055358736,28.6112773370242,0.646433631,-0.909489711195602,-0.527259217677847,0.989216646578798,-0.346066134280392
2,2,17.453916670032,3.06483055358736,28.6112773370242,0.646433631,-0.909489711195602,-0.527259217677847,0.989216646578798,-0.346066134280392
2,3,17.453916670032,3.06483055358736,28.6112773370242,0.646433631,-0.909489711195602,-0.527259217677847,0.989216646578798,-0.346066134280392
2,4,17.453916670032,3.06483055358736,28.6112773370242,0.646433631,-0.909489711195602,-0.527259217677847,0.989216646578798,-0.346066134280392
2,5,17.453916670032,3.06483055358736,28.6112773370242,0.646433631,-0.909489711195602,-0.527259217677847,0.989216646578798,-0.346066134280392
