"","mean","sd","2.5%","50%","97.5%","Rhat","n.eff","f"
"beta_trend[48]",-0.0179617105555016,0.00647322057772146,-0.0305128386265844,-0.0180138256881497,-0.00502852203079585,1,12000,0.997333333333333
"beta_trend[49]",-0.0747696132499506,0.00907508914098329,-0.0926843327673246,-0.0748182255552491,-0.0569850554925041,1,7126,1
"beta_trend[50]",0.000634119888461998,0.00662313617710848,-0.0123991700053247,0.000625749921319493,0.0136113590857325,1,12000,0.540083333333333
"beta_trend[51]",-0.0677803721328985,0.00767469406591654,-0.0829470411109064,-0.0677755470169175,-0.0528118907518232,1,8522,1
"beta_trend[52]",0.00577281051753807,0.0106345783254132,-0.0152820022694289,0.00583156110065803,0.0266790036814376,1,6443,0.708
"beta_trend[53]",-0.0163266725678172,0.00654728572324267,-0.0290882930826641,-0.0164166300051572,-0.00339596218400964,1,10674,0.993166666666667
"beta_trend[54]",0.0184320643625627,0.00649532555127928,0.00572430088649185,0.0184748871107725,0.0310094156514272,1,12000,0.997416666666667
"beta_trend[55]",-0.0137544435854551,0.00662569000949899,-0.02662880054543,-0.0138575357945474,-0.000842062641286277,1,11588,0.98175
"beta_trend[56]",0.00654181201458137,0.00667016126525147,-0.00640976197803821,0.00656135257072452,0.0196609062620095,1,11597,0.836666666666667
"beta_trend[57]",-0.0450986512672789,0.00660631784360722,-0.0579290496351136,-0.0451121916172742,-0.0321741070358946,1,12000,1
"beta_trend[58]",-0.0338426405447546,0.0066249371871835,-0.0468336089726687,-0.0338850338037406,-0.0207445957748189,1,12220,1
"beta_trend[59]",-0.0509598746558104,0.00692514520881576,-0.0646771330437725,-0.0509214664814848,-0.0374596369127192,1,11249,1
"log_N_tau",6.64936403916356,0.290308454735219,6.09380464850655,6.64751712943642,7.22075219475798,1,7110,1
